county,precinct,office,district,party,candidate,vote
Tompkins,City of Ithaca 1-1,President,,,Ballots Cast,492
Tompkins,City of Ithaca 1-2,President,,,Ballots Cast,448
Tompkins,City of Ithaca 1-3,President,,,Ballots Cast,403
Tompkins,City of Ithaca 1-4,President,,,Ballots Cast,647
Tompkins,City of Ithaca 2-1,President,,,Ballots Cast,682
Tompkins,City of Ithaca 2-2,President,,,Ballots Cast,601
Tompkins,City of Ithaca 2-3,President,,,Ballots Cast,644
Tompkins,City of Ithaca 2-4,President,,,Ballots Cast,588
Tompkins,City of Ithaca 3-1,President,,,Ballots Cast,238
Tompkins,City of Ithaca 3-2,President,,,Ballots Cast,527
Tompkins,City of Ithaca 3-3,President,,,Ballots Cast,457
Tompkins,City of Ithaca 4-1,President,,,Ballots Cast,184
Tompkins,City of Ithaca 4-2,President,,,Ballots Cast,217
Tompkins,City of Ithaca 4-3,President,,,Ballots Cast,179
Tompkins,City of Ithaca 5-1,President,,,Ballots Cast,741
Tompkins,City of Ithaca 5-2,President,,,Ballots Cast,468
Tompkins,City of Ithaca 5-3,President,,,Ballots Cast,207
Tompkins,City of Ithaca 5-4,President,,,Ballots Cast,351
Tompkins,Caroline 1,President,,,Ballots Cast,359
Tompkins,Caroline 2,President,,,Ballots Cast,631
Tompkins,Caroline 3,President,,,Ballots Cast,725
Tompkins,Danby 1,President,,,Ballots Cast,854
Tompkins,Danby 2,President,,,Ballots Cast,181
Tompkins,Danby 3,President,,,Ballots Cast,768
Tompkins,Dryden 1,President,,,Ballots Cast,723
Tompkins,Dryden 2,President,,,Ballots Cast,639
Tompkins,Dryden 3,President,,,Ballots Cast,158
Tompkins,Dryden 4,President,,,Ballots Cast,581
Tompkins,Dryden 5,President,,,Ballots Cast,416
Tompkins,Dryden 6,President,,,Ballots Cast,612
Tompkins,Dryden 7,President,,,Ballots Cast,688
Tompkins,Dryden 8,President,,,Ballots Cast,797
Tompkins,Dryden 9,President,,,Ballots Cast,723
Tompkins,Dryden 10,President,,,Ballots Cast,594
Tompkins,Dryden 11,President,,,Ballots Cast,595
Tompkins,Enfield 1,President,,,Ballots Cast,746
Tompkins,Enfield 2,President,,,Ballots Cast,765
Tompkins,Groton 1,President,,,Ballots Cast,449
Tompkins,Groton 2,President,,,Ballots Cast,664
Tompkins,Groton 3,President,,,Ballots Cast,705
Tompkins,Groton 4,President,,,Ballots Cast,676
Tompkins,Town of Ithaca 1,President,,,Ballots Cast,604
Tompkins,Town of Ithaca 2,President,,,Ballots Cast,407
Tompkins,"Town of Ithaca 3, 10",President,,,Ballots Cast,791
Tompkins,"Town of Ithaca 4, 12",President,,,Ballots Cast,787
Tompkins,Town of Ithaca 5,President,,,Ballots Cast,742
Tompkins,Town of Ithaca 6,President,,,Ballots Cast,592
Tompkins,Town of Ithaca 7,President,,,Ballots Cast,537
