county,precinct,office,district,candidate,party,votes,,,,
Yates,Barrington,WHOLE NUMBER,,Ballots Cast,,508,,,,
Yates,Benton 1,WHOLE NUMBER,,Ballots Cast,,407,,,,
Yates,Benton 2,WHOLE NUMBER,,Ballots Cast,,568,,,,
Yates,Italy,WHOLE NUMBER,,Ballots Cast,,497,,,,
Yates,Jerusalem 1,WHOLE NUMBER,,Ballots Cast,,561,,,,
Yates,Jerusalem 2,WHOLE NUMBER,,Ballots Cast,,415,,,,
Yates,Jerusalem 3,WHOLE NUMBER,,Ballots Cast,,467,,,,
Yates,Jerusalem 4,WHOLE NUMBER,,Ballots Cast,,503,,,,
Yates,Middlesex,WHOLE NUMBER,,Ballots Cast,,736,,,,
Yates,Milo 2,WHOLE NUMBER,,Ballots Cast,,605,,,,
Yates,Milo 3,WHOLE NUMBER,,Ballots Cast,,512,,,,
Yates,Milo 4,WHOLE NUMBER,,Ballots Cast,,357,,,,
Yates,Milo 5,WHOLE NUMBER,,Ballots Cast,,530,,,,
Yates,Milo 6,WHOLE NUMBER,,Ballots Cast,,586,,,,
Yates,Potter,WHOLE NUMBER,,Ballots Cast,,605,,,,
Yates,Starkey 1,WHOLE NUMBER,,Ballots Cast,,543,,,,
Yates,Starkey 2,WHOLE NUMBER,,Ballots Cast,,570,,,,
Yates,Torrey,WHOLE NUMBER,,Ballots Cast,,544,,,,
Yates,Total,WHOLE NUMBER,,Ballots Cast,,9514,,,,
Yates,Barrington,President,,Barack Obama,DEM,218,,,,
Yates,Benton 1,President,,Barack Obama,DEM,177,,,,
Yates,Benton 2,President,,Barack Obama,DEM,294,,,,
Yates,Italy,President,,Barack Obama,DEM,199,,,,
Yates,Jerusalem 1,President,,Barack Obama,DEM,258,,,,
Yates,Jerusalem 2,President,,Barack Obama,DEM,176,,,,
Yates,Jerusalem 3,President,,Barack Obama,DEM,191,,,,
Yates,Jerusalem 4,President,,Barack Obama,DEM,240,,,,
Yates,Middlesex,President,,Barack Obama,DEM,292,,,,
Yates,Milo 2,President,,Barack Obama,DEM,318,,,,
Yates,Milo 3,President,,Barack Obama,DEM,279,,,,
Yates,Milo 4,President,,Barack Obama,DEM,139,,,,
Yates,Milo 5,President,,Barack Obama,DEM,272,,,,
Yates,Milo 6,President,,Barack Obama,DEM,253,,,,
Yates,Potter,President,,Barack Obama,DEM,201,,,,
Yates,Starkey 1,President,,Barack Obama,DEM,227,,,,
Yates,Starkey 2,President,,Barack Obama,DEM,256,,,,
Yates,Torrey,President,,Barack Obama,DEM,269,,,,
Yates,Total,President,,Barack Obama,DEM,4259,,,,
Yates,Barrington,President,,Mitt Romney,REP,235,,,,
Yates,Benton 1,President,,Mitt Romney,REP,195,,,,
Yates,Benton 2,President,,Mitt Romney,REP,228,,,,
Yates,Italy,President,,Mitt Romney,REP,232,,,,
Yates,Jerusalem 1,President,,Mitt Romney,REP,256,,,,
Yates,Jerusalem 2,President,,Mitt Romney,REP,206,,,,
Yates,Jerusalem 3,President,,Mitt Romney,REP,205,,,,
Yates,Jerusalem 4,President,,Mitt Romney,REP,227,,,,
Yates,Middlesex,President,,Mitt Romney,REP,342,,,,
Yates,Milo 2,President,,Mitt Romney,REP,224,,,,
Yates,Milo 3,President,,Mitt Romney,REP,190,,,,
Yates,Milo 4,President,,Mitt Romney,REP,178,,,,
Yates,Milo 5,President,,Mitt Romney,REP,198,,,,
Yates,Milo 6,President,,Mitt Romney,REP,285,,,,
Yates,Potter,President,,Mitt Romney,REP,322,,,,
Yates,Starkey 1,President,,Mitt Romney,REP,267,,,,
Yates,Starkey 2,President,,Mitt Romney,REP,252,,,,
Yates,Torrey,President,,Mitt Romney,REP,227,,,,
Yates,Total,President,,Mitt Romney,REP,4269,,,,
Yates,Barrington,President,,Mitt Romney,CON,18,,,,
Yates,Benton 1,President,,Mitt Romney,CON,21,,,,
Yates,Benton 2,President,,Mitt Romney,CON,27,,,,
Yates,Italy,President,,Mitt Romney,CON,35,,,,
Yates,Jerusalem 1,President,,Mitt Romney,CON,25,,,,
Yates,Jerusalem 2,President,,Mitt Romney,CON,20,,,,
Yates,Jerusalem 3,President,,Mitt Romney,CON,43,,,,
Yates,Jerusalem 4,President,,Mitt Romney,CON,19,,,,
Yates,Middlesex,President,,Mitt Romney,CON,52,,,,
Yates,Milo 2,President,,Mitt Romney,CON,38,,,,
Yates,Milo 3,President,,Mitt Romney,CON,22,,,,
Yates,Milo 4,President,,Mitt Romney,CON,23,,,,
Yates,Milo 5,President,,Mitt Romney,CON,26,,,,
Yates,Milo 6,President,,Mitt Romney,CON,33,,,,
Yates,Potter,President,,Mitt Romney,CON,41,,,,
Yates,Starkey 1,President,,Mitt Romney,CON,29,,,,
Yates,Starkey 2,President,,Mitt Romney,CON,30,,,,
Yates,Torrey,President,,Mitt Romney,CON,27,,,,
Yates,Total,President,,Mitt Romney,CON,529,,,,
Yates,Barrington,President,,Barack Obama,WF,12,,,,
Yates,Benton 1,President,,Barack Obama,WF,6,,,,
Yates,Benton 2,President,,Barack Obama,WF,12,,,,
Yates,Italy,President,,Barack Obama,WF,22,,,,
Yates,Jerusalem 1,President,,Barack Obama,WF,10,,,,
Yates,Jerusalem 2,President,,Barack Obama,WF,6,,,,
Yates,Jerusalem 3,President,,Barack Obama,WF,9,,,,
Yates,Jerusalem 4,President,,Barack Obama,WF,9,,,,
Yates,Middlesex,President,,Barack Obama,WF,23,,,,
Yates,Milo 2,President,,Barack Obama,WF,21,,,,
Yates,Milo 3,President,,Barack Obama,WF,11,,,,
Yates,Milo 4,President,,Barack Obama,WF,4,,,,
Yates,Milo 5,President,,Barack Obama,WF,15,,,,
Yates,Milo 6,President,,Barack Obama,WF,11,,,,
Yates,Potter,President,,Barack Obama,WF,15,,,,
Yates,Starkey 1,President,,Barack Obama,WF,10,,,,
Yates,Starkey 2,President,,Barack Obama,WF,15,,,,
Yates,Torrey,President,,Barack Obama,WF,18,,,,
Yates,Total,President,,Barack Obama,WF,229,,,,
Yates,Barrington,President,,Jill Stein,GRN,5,,,,
Yates,Benton 1,President,,Jill Stein,GRN,1,,,,
Yates,Benton 2,President,,Jill Stein,GRN,1,,,,
Yates,Italy,President,,Jill Stein,GRN,2,,,,
Yates,Jerusalem 1,President,,Jill Stein,GRN,3,,,,
Yates,Jerusalem 2,President,,Jill Stein,GRN,1,,,,
Yates,Jerusalem 3,President,,Jill Stein,GRN,9,,,,
Yates,Jerusalem 4,President,,Jill Stein,GRN,4,,,,
Yates,Middlesex,President,,Jill Stein,GRN,6,,,,
Yates,Milo 2,President,,Jill Stein,GRN,0,,,,
Yates,Milo 3,President,,Jill Stein,GRN,5,,,,
Yates,Milo 4,President,,Jill Stein,GRN,4,,,,
Yates,Milo 5,President,,Jill Stein,GRN,9,,,,
Yates,Milo 6,President,,Jill Stein,GRN,0,,,,
Yates,Potter,President,,Jill Stein,GRN,6,,,,
Yates,Starkey 1,President,,Jill Stein,GRN,3,,,,
Yates,Starkey 2,President,,Jill Stein,GRN,6,,,,
Yates,Torrey,President,,Jill Stein,GRN,2,,,,
