county,precinct,office,candidate,party,votes
Onondaga,Syracuse - Ward 01 01,GOVERNOR,Ballots,DEM,189
Onondaga,Syracuse - Ward 01 01,GOVERNOR,Cynthia E Nixon,DEM,79
Onondaga,Syracuse - Ward 01 01,GOVERNOR,Andrew M Cuomo,DEM,108
Onondaga,Syracuse - Ward 01 01,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 01 01,GOVERNOR,Voids/Blanks,DEM,2
Onondaga,Syracuse - Ward 01 03,GOVERNOR,Ballots,DEM,56
Onondaga,Syracuse - Ward 01 03,GOVERNOR,Cynthia E Nixon,DEM,20
Onondaga,Syracuse - Ward 01 03,GOVERNOR,Andrew M Cuomo,DEM,36
Onondaga,Syracuse - Ward 01 03,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 01 03,GOVERNOR,Voids/Blanks,DEM,0
Onondaga,Syracuse - Ward 01 04,GOVERNOR,Ballots,DEM,37
Onondaga,Syracuse - Ward 01 04,GOVERNOR,Cynthia E Nixon,DEM,14
Onondaga,Syracuse - Ward 01 04,GOVERNOR,Andrew M Cuomo,DEM,21
Onondaga,Syracuse - Ward 01 04,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 01 04,GOVERNOR,Voids/Blanks,DEM,2
Onondaga,Syracuse - Ward 01 05,GOVERNOR,Ballots,DEM,0
Onondaga,Syracuse - Ward 01 05,GOVERNOR,Cynthia E Nixon,DEM,0
Onondaga,Syracuse - Ward 01 05,GOVERNOR,Andrew M Cuomo,DEM,0
Onondaga,Syracuse - Ward 01 05,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 01 05,GOVERNOR,Voids/Blanks,DEM,0
Onondaga,Syracuse - Ward 01 07,GOVERNOR,Ballots,DEM,3
Onondaga,Syracuse - Ward 01 07,GOVERNOR,Cynthia E Nixon,DEM,1
Onondaga,Syracuse - Ward 01 07,GOVERNOR,Andrew M Cuomo,DEM,2
Onondaga,Syracuse - Ward 01 07,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 01 07,GOVERNOR,Voids/Blanks,DEM,0
Onondaga,Syracuse - Ward 01 08,GOVERNOR,Ballots,DEM,23
Onondaga,Syracuse - Ward 01 08,GOVERNOR,Cynthia E Nixon,DEM,10
Onondaga,Syracuse - Ward 01 08,GOVERNOR,Andrew M Cuomo,DEM,13
Onondaga,Syracuse - Ward 01 08,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 01 08,GOVERNOR,Voids/Blanks,DEM,0
Onondaga,Syracuse - Ward 01 09,GOVERNOR,Ballots,DEM,3
Onondaga,Syracuse - Ward 01 09,GOVERNOR,Cynthia E Nixon,DEM,0
Onondaga,Syracuse - Ward 01 09,GOVERNOR,Andrew M Cuomo,DEM,3
Onondaga,Syracuse - Ward 01 09,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 01 09,GOVERNOR,Voids/Blanks,DEM,0
Onondaga,Syracuse - Ward 02 01,GOVERNOR,Ballots,DEM,86
Onondaga,Syracuse - Ward 02 01,GOVERNOR,Cynthia E Nixon,DEM,45
Onondaga,Syracuse - Ward 02 01,GOVERNOR,Andrew M Cuomo,DEM,41
Onondaga,Syracuse - Ward 02 01,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 02 01,GOVERNOR,Voids/Blanks,DEM,0
Onondaga,Syracuse - Ward 02 02,GOVERNOR,Ballots,DEM,81
Onondaga,Syracuse - Ward 02 02,GOVERNOR,Cynthia E Nixon,DEM,40
Onondaga,Syracuse - Ward 02 02,GOVERNOR,Andrew M Cuomo,DEM,40
Onondaga,Syracuse - Ward 02 02,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 02 02,GOVERNOR,Voids/Blanks,DEM,1
Onondaga,Syracuse - Ward 03 02,GOVERNOR,Ballots,DEM,56
Onondaga,Syracuse - Ward 03 02,GOVERNOR,Cynthia E Nixon,DEM,13
Onondaga,Syracuse - Ward 03 02,GOVERNOR,Andrew M Cuomo,DEM,41
Onondaga,Syracuse - Ward 03 02,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 03 02,GOVERNOR,Voids/Blanks,DEM,2
Onondaga,Syracuse - Ward 03 03,GOVERNOR,Ballots,DEM,108
Onondaga,Syracuse - Ward 03 03,GOVERNOR,Cynthia E Nixon,DEM,33
Onondaga,Syracuse - Ward 03 03,GOVERNOR,Andrew M Cuomo,DEM,73
Onondaga,Syracuse - Ward 03 03,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 03 03,GOVERNOR,Voids/Blanks,DEM,2
Onondaga,Syracuse - Ward 03 05,GOVERNOR,Ballots,DEM,110
Onondaga,Syracuse - Ward 03 05,GOVERNOR,Cynthia E Nixon,DEM,44
Onondaga,Syracuse - Ward 03 05,GOVERNOR,Andrew M Cuomo,DEM,65
Onondaga,Syracuse - Ward 03 05,GOVERNOR,Write-ins,DEM,0
Onondaga,Syracuse - Ward 03 05,GOVERNOR,Voids/Blanks,DEM,1
Onondaga,Syracuse - Ward 04 01,GOVERNOR,Ballots,DEM,170
Onondaga,Syracuse - Ward 04 01,GOVERNOR,Cynthia E Nixon,DEM,69
Onondaga,Syracuse - Ward 04 01,GOVERNOR,Andrew M Cuomo,DEM,96
