county,precinct,office,district,Candidate,party,Votes,,,,,,,,,,
westchester,Town of Cortlandt  20026,Governor,,CYNTHIA NIXON,DEM,20,,,,,,,,,,
westchester,Town of Cortlandt  20027,Governor,,CYNTHIA NIXON,DEM,21,,,,,,,,,,
westchester,Town of Cortlandt  20028,Governor,,CYNTHIA NIXON,DEM,51,,,,,,,,,,
westchester,Town of Cortlandt  20029,Governor,,CYNTHIA NIXON,DEM,25,,,,,,,,,,
westchester,Town of Cortlandt  20030,Governor,,CYNTHIA NIXON,DEM,28,,,,,,,,,,
westchester,Town of Cortlandt  20031,Governor,,CYNTHIA NIXON,DEM,34,,,,,,,,,,
westchester,Town of Cortlandt  20032,Governor,,CYNTHIA NIXON,DEM,47,,,,,,,,,,
westchester,Town of Cortlandt  20033,Governor,,CYNTHIA NIXON,DEM,53,,,,,,,,,,
westchester,Town of Cortlandt  20034,Governor,,CYNTHIA NIXON,DEM,47,,,,,,,,,,
westchester,Town of Cortlandt  20035,Governor,,CYNTHIA NIXON,DEM,23,,,,,,,,,,
westchester,Town of Cortlandt  20038,Governor,,CYNTHIA NIXON,DEM,49,,,,,,,,,,
westchester,Town of Cortlandt  20039,Governor,,CYNTHIA NIXON,DEM,59,,,,,,,,,,
westchester,Town of Eastchester  30001,Governor,,CYNTHIA NIXON,DEM,61,,,,,,,,,,
westchester,Town of Eastchester  30002,Governor,,CYNTHIA NIXON,DEM,16,,,,,,,,,,
westchester,Town of Eastchester  30003,Governor,,CYNTHIA NIXON,DEM,19,,,,,,,,,,
westchester,Town of Eastchester  30004,Governor,,CYNTHIA NIXON,DEM,16,,,,,,,,,,
westchester,Town of Eastchester  30005,Governor,,CYNTHIA NIXON,DEM,12,,,,,,,,,,
westchester,Town of Eastchester  30006,Governor,,CYNTHIA NIXON,DEM,15,,,,,,,,,,
westchester,Town of Eastchester  30007,Governor,,CYNTHIA NIXON,DEM,8,,,,,,,,,,
westchester,Town of Eastchester  30008,Governor,,CYNTHIA NIXON,DEM,11,,,,,,,,,,
westchester,Town of Eastchester  30009,Governor,,CYNTHIA NIXON,DEM,9,,,,,,,,,,
westchester,Town of Eastchester  30010,Governor,,CYNTHIA NIXON,DEM,22,,,,,,,,,,
westchester,Town of Eastchester  30011,Governor,,CYNTHIA NIXON,DEM,21,,,,,,,,,,
westchester,Town of Eastchester  30012,Governor,,CYNTHIA NIXON,DEM,16,,,,,,,,,,
westchester,Town of Eastchester  30013,Governor,,CYNTHIA NIXON,DEM,39,,,,,,,,,,
westchester,Town of Eastchester  30014,Governor,,CYNTHIA NIXON,DEM,35,,,,,,,,,,
westchester,Town of Eastchester  30015,Governor,,CYNTHIA NIXON,DEM,12,,,,,,,,,,
westchester,Town of Eastchester  30016,Governor,,CYNTHIA NIXON,DEM,17,,,,,,,,,,
westchester,Town of Eastchester  30017,Governor,,CYNTHIA NIXON,DEM,26,,,,,,,,,,
westchester,Town of Eastchester  30018,Governor,,CYNTHIA NIXON,DEM,25,,,,,,,,,,
westchester,Town of Eastchester  30019,Governor,,CYNTHIA NIXON,DEM,20,,,,,,,,,,
westchester,Town of Eastchester  30020,Governor,,CYNTHIA NIXON,DEM,43,,,,,,,,,,
westchester,Town of Eastchester  30021,Governor,,CYNTHIA NIXON,DEM,31,,,,,,,,,,
westchester,Town of Eastchester  30022,Governor,,CYNTHIA NIXON,DEM,24,,,,,,,,,,
westchester,Town of Eastchester  30023,Governor,,CYNTHIA NIXON,DEM,22,,,,,,,,,,
westchester,Town of Eastchester  30024,Governor,,CYNTHIA NIXON,DEM,7,,,,,,,,,,
westchester,Town of Eastchester  30025,Governor,,CYNTHIA NIXON,DEM,15,,,,,,,,,,
westchester,Town of Eastchester  30026,Governor,,CYNTHIA NIXON,DEM,8,,,,,,,,,,
westchester,Town of Eastchester  30027,Governor,,CYNTHIA NIXON,DEM,29,,,,,,,,,,
westchester,Town of Eastchester  30028,Governor,,CYNTHIA NIXON,DEM,21,,,,,,,,,,
westchester,Town of Eastchester  30029,Governor,,CYNTHIA NIXON,DEM,12,,,,,,,,,,
westchester,Town of Eastchester  30030,Governor,,CYNTHIA NIXON,DEM,12,,,,,,,,,,
westchester,Town of Eastchester  30031,Governor,,CYNTHIA NIXON,DEM,13,,,,,,,,,,
westchester,Town of Eastchester  30032,Governor,,CYNTHIA NIXON,DEM,27,,,,,,,,,,
westchester,Town of Eastchester  30033,Governor,,CYNTHIA NIXON,DEM,21,,,,,,,,,,
westchester,Town of Eastchester  30034,Governor,,CYNTHIA NIXON,DEM,22,,,,,,,,,,
westchester,Town of Eastchester  30035,Governor,,CYNTHIA NIXON,DEM,19,,,,,,,,,,
westchester,Town of Eastchester  30036,Governor,,CYNTHIA NIXON,DEM,3,,,,,,,,,,
westchester,Town of Eastchester  30037,Governor,,CYNTHIA NIXON,DEM,7,,,,,,,,,,
westchester,Town of Eastchester  30038,Governor,,CYNTHIA NIXON,DEM,12,,,,,,,,,,
westchester,Town of Eastchester  30039,Governor,,CYNTHIA NIXON,DEM,14,,,,,,,,,,
westchester,Town of Greenburgh  40001,Governor,,CYNTHIA NIXON,DEM,85,,,,,,,,,,
westchester,Town of Greenburgh  40002,Governor,,CYNTHIA NIXON,DEM,52,,,,,,,,,,
westchester,Town of Greenburgh  40003,Governor,,CYNTHIA NIXON,DEM,73,,,,,,,,,,
westchester,Town of Greenburgh  40004,Governor,,CYNTHIA NIXON,DEM,88,,,,,,,,,,
westchester,Town of Greenburgh  40005,Governor,,CYNTHIA NIXON,DEM,59,,,,,,,,,,
westchester,Town of Greenburgh  40006,Governor,,CYNTHIA NIXON,DEM,36,,,,,,,,,,
westchester,Town of Greenburgh  40007,Governor,,CYNTHIA NIXON,DEM,45,,,,,,,,,,
westchester,Town of Greenburgh  40008,Governor,,CYNTHIA NIXON,DEM,88,,,,,,,,,,
westchester,Town of Greenburgh  40009,Governor,,CYNTHIA NIXON,DEM,75,,,,,,,,,,
westchester,Town of Greenburgh  40010,Governor,,CYNTHIA NIXON,DEM,61,,,,,,,,,,
westchester,Town of Greenburgh  40011,Governor,,CYNTHIA NIXON,DEM,32,,,,,,,,,,
westchester,Town of Greenburgh  40012,Governor,,CYNTHIA NIXON,DEM,53,,,,,,,,,,
westchester,Town of Greenburgh  40013,Governor,,CYNTHIA NIXON,DEM,90,,,,,,,,,,
westchester,Town of Greenburgh  40014,Governor,,CYNTHIA NIXON,DEM,60,,,,,,,,,,
westchester,Town of Greenburgh  40015,Governor,,CYNTHIA NIXON,DEM,90,,,,,,,,,,
westchester,Town of Greenburgh  40016,Governor,,CYNTHIA NIXON,DEM,69,,,,,,,,,,
westchester,Town of Greenburgh  40017,Governor,,CYNTHIA NIXON,DEM,41,,,,,,,,,,
westchester,Town of Greenburgh  40018,Governor,,CYNTHIA NIXON,DEM,125,,,,,,,,,,
westchester,Town of Greenburgh  40019,Governor,,CYNTHIA NIXON,DEM,162,,,,,,,,,,
westchester,Town of Greenburgh  40020,Governor,,CYNTHIA NIXON,DEM,67,,,,,,,,,,
westchester,Town of Greenburgh  40021,Governor,,CYNTHIA NIXON,DEM,70,,,,,,,,,,
westchester,Town of Greenburgh  40022,Governor,,CYNTHIA NIXON,DEM,51,,,,,,,,,,
westchester,Town of Greenburgh  40023,Governor,,CYNTHIA NIXON,DEM,197,,,,,,,,,,
westchester,Town of Greenburgh  40024,Governor,,CYNTHIA NIXON,DEM,64,,,,,,,,,,
westchester,Town of Greenburgh  40025,Governor,,CYNTHIA NIXON,DEM,33,,,,,,,,,,
westchester,Town of Greenburgh  40026,Governor,,CYNTHIA NIXON,DEM,48,,,,,,,,,,
westchester,Town of Greenburgh  40027,Governor,,CYNTHIA NIXON,DEM,22,,,,,,,,,,
westchester,Town of Greenburgh  40028,Governor,,CYNTHIA NIXON,DEM,15,,,,,,,,,,
westchester,Town of Greenburgh  40029,Governor,,CYNTHIA NIXON,DEM,12,,,,,,,,,,
westchester,Town of Greenburgh  40030,Governor,,CYNTHIA NIXON,DEM,60,,,,,,,,,,
westchester,Town of Greenburgh  40031,Governor,,CYNTHIA NIXON,DEM,57,,,,,,,,,,
westchester,Town of Greenburgh  40032,Governor,,CYNTHIA NIXON,DEM,33,,,,,,,,,,
westchester,Town of Greenburgh  40033,Governor,,CYNTHIA NIXON,DEM,38,,,,,,,,,,
westchester,Town of Greenburgh  40034,Governor,,CYNTHIA NIXON,DEM,61,,,,,,,,,,
westchester,Town of Greenburgh  40035,Governor,,CYNTHIA NIXON,DEM,40,,,,,,,,,,
westchester,Town of Greenburgh  40036,Governor,,CYNTHIA NIXON,DEM,31,,,,,,,,,,
westchester,Town of Greenburgh  40037,Governor,,CYNTHIA NIXON,DEM,50,,,,,,,,,,
westchester,Town of Greenburgh  40038,Governor,,CYNTHIA NIXON,DEM,14,,,,,,,,,,
westchester,Town of Greenburgh  40039,Governor,,CYNTHIA NIXON,DEM,46,,,,,,,,,,
westchester,Town of Greenburgh  40040,Governor,,CYNTHIA NIXON,DEM,36,,,,,,,,,,
westchester,Town of Greenburgh  40041,Governor,,CYNTHIA NIXON,DEM,37,,,,,,,,,,
westchester,Town of Greenburgh  40042,Governor,,CYNTHIA NIXON,DEM,41,,,,,,,,,,
westchester,Town of Greenburgh  40043,Governor,,CYNTHIA NIXON,DEM,28,,,,,,,,,,
westchester,Town of Greenburgh  40044,Governor,,CYNTHIA NIXON,DEM,31,,,,,,,,,,
westchester,Town of Greenburgh  40045,Governor,,CYNTHIA NIXON,DEM,21,,,,,,,,,,
westchester,Town of Greenburgh  40046,Governor,,CYNTHIA NIXON,DEM,38,,,,,,,,,,
westchester,Town of Greenburgh  40047,Governor,,CYNTHIA NIXON,DEM,23,,,,,,,,,,
westchester,Town of Greenburgh  40048,Governor,,CYNTHIA NIXON,DEM,34,,,,,,,,,,
westchester,Town of Greenburgh  40049,Governor,,CYNTHIA NIXON,DEM,32,,,,,,,,,,
westchester,Town of Greenburgh  40050,Governor,,CYNTHIA NIXON,DEM,49,,,,,,,,,,
westchester,Town of Greenburgh  40051,Governor,,CYNTHIA NIXON,DEM,10,,,,,,,,,,
westchester,Town of Greenburgh  40052,Governor,,CYNTHIA NIXON,DEM,76,,,,,,,,,,
westchester,Town of Greenburgh  40053,Governor,,CYNTHIA NIXON,DEM,55,,,,,,,,,,
westchester,Town of Greenburgh  40054,Governor,,CYNTHIA NIXON,DEM,22,,,,,,,,,,
westchester,Town of Greenburgh  40055,Governor,,CYNTHIA NIXON,DEM,55,,,,,,,,,,
westchester,Town of Greenburgh  40056,Governor,,CYNTHIA NIXON,DEM,32,,,,,,,,,,
westchester,Town of Greenburgh  40057,Governor,,CYNTHIA NIXON,DEM,31,,,,,,,,,,
westchester,Town of Greenburgh  40058,Governor,,CYNTHIA NIXON,DEM,45,,,,,,,,,,
westchester,Town of Greenburgh  40059,Governor,,CYNTHIA NIXON,DEM,144,,,,,,,,,,
westchester,Town of Greenburgh  40060,Governor,,CYNTHIA NIXON,DEM,59,,,,,,,,,,
westchester,Town of Greenburgh  40061,Governor,,CYNTHIA NIXON,DEM,29,,,,,,,,,,
westchester,Town of Greenburgh  40062,Governor,,CYNTHIA NIXON,DEM,35,,,,,,,,,,
westchester,Town of Greenburgh  40063,Governor,,CYNTHIA NIXON,DEM,43,,,,,,,,,,
westchester,Town of Greenburgh  40064,Governor,,CYNTHIA NIXON,DEM,32,,,,,,,,,,
westchester,Town of Greenburgh  40065,Governor,,CYNTHIA NIXON,DEM,44,,,,,,,,,,
westchester,Town of Greenburgh  40066,Governor,,CYNTHIA NIXON,DEM,28,,,,,,,,,,
westchester,Town of Greenburgh  40067,Governor,,CYNTHIA NIXON,DEM,35,,,,,,,,,,
westchester,Town of Greenburgh  40068,Governor,,CYNTHIA NIXON,DEM,35,,,,,,,,,,
westchester,Town of Greenburgh  40069,Governor,,CYNTHIA NIXON,DEM,47,,,,,,,,,,
westchester,Town of Greenburgh  40070,Governor,,CYNTHIA NIXON,DEM,16,,,,,,,,,,
westchester,Town of Greenburgh  40071,Governor,,CYNTHIA NIXON,DEM,28,,,,,,,,,,
westchester,Town of Greenburgh  40072,Governor,,CYNTHIA NIXON,DEM,40,,,,,,,,,,
westchester,Town of Greenburgh  40073,Governor,,CYNTHIA NIXON,DEM,41,,,,,,,,,,
westchester,Town of Greenburgh  40074,Governor,,CYNTHIA NIXON,DEM,68,,,,,,,,,,
westchester,Town of Greenburgh  40075,Governor,,CYNTHIA NIXON,DEM,28,,,,,,,,,,
westchester,Town of Greenburgh  40076,Governor,,CYNTHIA NIXON,DEM,36,,,,,,,,,,
westchester,Town of Greenburgh  40077,Governor,,CYNTHIA NIXON,DEM,32,,,,,,,,,,
westchester,Town of Greenburgh  40078,Governor,,CYNTHIA NIXON,DEM,33,,,,,,,,,,
westchester,Town of Greenburgh  40079,Governor,,CYNTHIA NIXON,DEM,72,,,,,,,,,,
westchester,Town of Greenburgh  40080,Governor,,CYNTHIA NIXON,DEM,31,,,,,,,,,,
westchester,Town of Greenburgh  40081,Governor,,CYNTHIA NIXON,DEM,29,,,,,,,,,,
westchester,Town of Harrison  50001,Governor,,CYNTHIA NIXON,DEM,20,,,,,,,,,,
westchester,Town of Harrison  50002,Governor,,CYNTHIA NIXON,DEM,24,,,,,,,,,,
westchester,Town of Harrison  50003,Governor,,CYNTHIA NIXON,DEM,11,,,,,,,,,,
westchester,Town of Harrison  50004,Governor,,CYNTHIA NIXON,DEM,18,,,,,,,,,,
westchester,Town of Harrison  50005,Governor,,CYNTHIA NIXON,DEM,9,,,,,,,,,,
westchester,Town of Harrison  50006,Governor,,CYNTHIA NIXON,DEM,28,,,,,,,,,,
westchester,Town of Harrison  50007,Governor,,CYNTHIA NIXON,DEM,19,,,,,,,,,,
westchester,Town of Harrison  50008,Governor,,CYNTHIA NIXON,DEM,28,,,,,,,,,,
westchester,Town of Harrison  50009,Governor,,CYNTHIA NIXON,DEM,23,,,,,,,,,,
westchester,Town of Harrison  50010,Governor,,CYNTHIA NIXON,DEM,21,,,,,,,,,,
westchester,Town of Harrison  50011,Governor,,CYNTHIA NIXON,DEM,31,,,,,,,,,,
westchester,Town of Harrison  50012,Governor,,CYNTHIA NIXON,DEM,13,,,,,,,,,,
westchester,Town of Harrison  50013,Governor,,CYNTHIA NIXON,DEM,35,,,,,,,,,,
westchester,Town of Harrison  50014,Governor,,CYNTHIA NIXON,DEM,9,,,,,,,,,,
westchester,Town of Harrison  50015,Governor,,CYNTHIA NIXON,DEM,15,,,,,,,,,,
westchester,Town of Harrison  50016,Governor,,CYNTHIA NIXON,DEM,14,,,,,,,,,,
westchester,Town of Harrison  50017,Governor,,CYNTHIA NIXON,DEM,117,,,,,,,,,,
