candidate,office,district,party,county,precinct,votes,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Alabama 1,80,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Alabama 1,193,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Alabama 1,25,,
Hawkins Lee,Governor & Lt. Governor,,,Genesee,Alabama 1,2,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Alabama 1,0,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Alabama 1,3,,
Cuomo Hochul,Governor & Lt. Governor,,,Genesee,Alabama 1,1,,
Molinar O Killian,Governor & Lt. Governor,,,Genesee,Alabama 1,1,,
Miner Volpe,Governor & Lt. Governor,,,Genesee,Alabama 1,4,,
Sharpe Hollister ,Governor & Lt. Governor,,,Genesee,Alabama 1,26,,
DiNapoli,Comptroller,,,Genesee,Alabama 1,103,,
Trichter,Comptroller,,,Genesee,Alabama 1,175,,
Trichter,Comptroller,,,Genesee,Alabama 1,24,,
Dunlea,Comptroller,,,Genesee,Alabama 1,4,,
DiNapoli,Comptroller,,,Genesee,Alabama 1,2,,
DiNapoli,Comptroller,,,Genesee,Alabama 1,2,,
DiNapoli,Comptroller,,,Genesee,Alabama 1,6,,
DiNapoli,Comptroller,,,Genesee,Alabama 1,2,,
Gallaudet ,Comptroller,,,Genesee,Alabama 1,4,,
James,Attorney General,,,Genesee,Alabama 1,78,,
Wofford,Attorney General,,,Genesee,Alabama 1,204,,
Wofford,Attorney General,,,Genesee,Alabama 1,21,,
Sussman,Attorney General,,,Genesee,Alabama 1,4,,
James,Attorney General,,,Genesee,Alabama 1,3,,
James,Attorney General,,,Genesee,Alabama 1,3,,
Sliwa,Attorney General,,,Genesee,Alabama 1,1,,
Garvey,Attorney General,,,Genesee,Alabama 1,9,,
Gillibrand,U.S. Senate,,,Genesee,Alabama 1,105,,
CC Farley,U.S. Senate,,,Genesee,Alabama 1,185,,
CC Farley,U.S. Senate,,,Genesee,Alabama 1,21,,
Gillibrand,U.S. Senate,,,Genesee,Alabama 1,4,,
Gillibrand,U.S. Senate,,,Genesee,Alabama 1,3,,
Gillibrand,U.S. Senate,,,Genesee,Alabama 1,6,,
CC Farley,U.S. Senate,,,Genesee,Alabama 1,0,,
McMurray,U.S. House,27,,Genesee,Alabama 1,115,,
Collins,U.S. House,27,,Genesee,Alabama 1,177,,
Collins,U.S. House,27,,Genesee,Alabama 1,20,,
McMurray,U.S. House,27,,Genesee,Alabama 1,8,,
Collins,U.S. House,27,,Genesee,Alabama 1,1,,
McMurray,U.S. House,27,,Genesee,Alabama 1,6,,
Piegza,U.S. House,27,,Genesee,Alabama 1,6,,
Seamans,State Senate,61,,Genesee,Alabama 1,78,,
