county,precinct,office,district,party,candidate,election_day,absentee,votes,,,,,,,,,,,,
Herkimer,Town of Herkimer 1,Governor,,DEM,Andrew M. Cuomo,117,10,127,,,,,,,,,,,,
Herkimer,Town of Herkimer 2,Governor,,DEM,Andrew M. Cuomo,57,15,72,,,,,,,,,,,,
Herkimer,Town of Herkimer 3,Governor,,DEM,Andrew M. Cuomo,82,7,89,,,,,,,,,,,,
Herkimer,Town of Herkimer 4,Governor,,DEM,Andrew M. Cuomo,62,12,74,,,,,,,,,,,,
Herkimer,Town of Herkimer 5,Governor,,DEM,Andrew M. Cuomo,93,10,103,,,,,,,,,,,,
Herkimer,Town of Herkimer 6,Governor,,DEM,Andrew M. Cuomo,171,22,193,,,,,,,,,,,,
Herkimer,Town of Herkimer 7,Governor,,DEM,Andrew M. Cuomo,76,7,83,,,,,,,,,,,,
Herkimer,Town of Herkimer 8,Governor,,DEM,Andrew M. Cuomo,91,9,100,,,,,,,,,,,,
Herkimer,Town of Herkimer 9,Governor,,DEM,Andrew M. Cuomo,98,15,113,,,,,,,,,,,,
Herkimer,Town of Litchfield 1,Governor,,DEM,Andrew M. Cuomo,111,9,120,,,,,,,,,,,,
Herkimer,Town of Little Falls 1,Governor,,DEM,Andrew M. Cuomo,123,14,137,,,,,,,,,,,,
Herkimer,Town of Manheim 1,Governor,,DEM,Andrew M. Cuomo,33,2,35,,,,,,,,,,,,
Herkimer,Town of Manheim 2,Governor,,DEM,Andrew M. Cuomo,117,9,126,,,,,,,,,,,,
Herkimer,Town of Manheim 3,Governor,,DEM,Andrew M. Cuomo,59,5,64,,,,,,,,,,,,
Herkimer,Town of Newport 1,Governor,,DEM,Andrew M. Cuomo,181,12,193,,,,,,,,,,,,
Herkimer,Town of Norway 1,Governor,,DEM,Andrew M. Cuomo,37,4,41,,,,,,,,,,,,
Herkimer,Town of Ohio 1,Governor,,DEM,Andrew M. Cuomo,54,13,67,,,,,,,,,,,,
Herkimer,Town of Russia 1,Governor,,DEM,Andrew M. Cuomo,121,12,133,,,,,,,,,,,,
Herkimer,Town of Russia 2,Governor,,DEM,Andrew M. Cuomo,41,4,45,,,,,,,,,,,,
Herkimer,Town of Russia 3,Governor,,DEM,Andrew M. Cuomo,29,4,33,,,,,,,,,,,,
Herkimer,Town of Salisbury 1,Governor,,DEM,Andrew M. Cuomo,66,3,69,,,,,,,,,,,,
Herkimer,Town of Schuyler 1,Governor,,DEM,Andrew M. Cuomo,115,3,118,,,,,,,,,,,,
Herkimer,Town of Schuyler 2,Governor,,DEM,Andrew M. Cuomo,98,14,112,,,,,,,,,,,,
Herkimer,Town of Schuyler 3,Governor,,DEM,Andrew M. Cuomo,65,1,66,,,,,,,,,,,,
Herkimer,Town of Stark 1,Governor,,DEM,Andrew M. Cuomo,66,2,68,,,,,,,,,,,,
Herkimer,Town of Warren 1,Governor,,DEM,Andrew M. Cuomo,62,10,72,,,,,,,,,,,,
Herkimer,Town of Webb 1,Governor,,DEM,Andrew M. Cuomo,246,35,281,,,,,,,,,,,,
Herkimer,Town of Webb 2,Governor,,DEM,Andrew M. Cuomo,27,14,41,,,,,,,,,,,,
Herkimer,Town of Winfield 1,Governor,,DEM,Andrew M. Cuomo,66,2,68,,,,,,,,,,,,
Herkimer,Town of Winfield 2,Governor,,DEM,Andrew M. Cuomo,80,9,89,,,,,,,,,,,,
Herkimer,City of Little Falls Ward 1 1,Governor,,WOR,Andrew M. Cuomo,0,3,3,,,,,,,,,,,,
Herkimer,City of Little Falls Ward 2 1,Governor,,WOR,Andrew M. Cuomo,2,0,2,,,,,,,,,,,,
Herkimer,City of Little Falls Ward 3 1,Governor,,WOR,Andrew M. Cuomo,3,0,3,,,,,,,,,,,,
