county,precinct,office,district,candidate,party,election_day,absentee,votes
Columbia,Ancram-1,Governor,,CYNTHIA E NIXON,Democratic,36,16,52
Columbia,Ancram-1,Governor,,ANDREW M CUOMO,Democratic,29,19,48
Columbia,Ancram-1,Governor,,Blanks,Democratic,1,2,3
Columbia,Ancram-1,Governor,,Voids,Democratic,0,2,2
Columbia,Ancram-1,Governor,,Scatterings,Democratic,0,0,0
Columbia,Ancram-1,Lieutenant Governor,,KATHY C HOCHUL,Democratic,31,24,55
Columbia,Ancram-1,Lieutenant Governor,,JUMAANE WILLIAMS,Democratic,35,8,43
Columbia,Ancram-1,Lieutenant Governor,,Blanks,Democratic,0,7,7
Columbia,Ancram-1,Lieutenant Governor,,Voids,Democratic,0,0,0
Columbia,Ancram-1,Lieutenant Governor,,Scatterings,Democratic,0,0,0
Columbia,Ancram-1,Attorney General,,SEAN PATRICK MALONEY,Democratic,10,7,17
Columbia,Ancram-1,Attorney General,,LETITIA A JAMES,Democratic,8,9,17
Columbia,Ancram-1,Attorney General,,LEECIA R EVE,Democratic,0,0,0
Columbia,Ancram-1,Attorney General,,ZEPHYR TEACHOUT,Democratic,48,22,70
Columbia,Ancram-1,Attorney General,,Blanks,Democratic,0,1,1
Columbia,Ancram-1,Attorney General,,Voids,Democratic,0,0,0
Columbia,Ancram-1,Attorney General,,Scatterings,Democratic,0,0,0
Columbia,Ancram-2,Governor,,CYNTHIA E NIXON,Democratic,28,7,35
Columbia,Ancram-2,Governor,,ANDREW M CUOMO,Democratic,27,12,39
Columbia,Ancram-2,Governor,,Blanks,Democratic,0,0,0
Columbia,Ancram-2,Governor,,Voids,Democratic,0,0,0
Columbia,Ancram-2,Governor,,Scatterings,Democratic,0,0,0
Columbia,Ancram-2,Lieutenant Governor,,KATHY C HOCHUL,Democratic,25,7,32
Columbia,Ancram-2,Lieutenant Governor,,JUMAANE WILLIAMS,Democratic,26,10,36
Columbia,Ancram-2,Lieutenant Governor,,Blanks,Democratic,4,2,6
Columbia,Ancram-2,Lieutenant Governor,,Voids,Democratic,0,0,0
Columbia,Ancram-2,Lieutenant Governor,,Scatterings,Democratic,0,0,0
Columbia,Ancram-2,Attorney General,,SEAN PATRICK MALONEY,Democratic,12,3,15
Columbia,Ancram-2,Attorney General,,LETITIA A JAMES,Democratic,1,1,2
Columbia,Ancram-2,Attorney General,,LEECIA R EVE,Democratic,4,2,6
Columbia,Ancram-2,Attorney General,,ZEPHYR TEACHOUT,Democratic,38,13,51
Columbia,Ancram-2,Attorney General,,Blanks,Democratic,0,0,0
Columbia,Ancram-2,Attorney General,,Voids,Democratic,0,0,0
Columbia,Ancram-2,Attorney General,,Scatterings,Democratic,0,0,0
Columbia,Austerlitz-1,Governor,,CYNTHIA E NIXON,Democratic,59,9,68
Columbia,Austerlitz-1,Governor,,ANDREW M CUOMO,Democratic,53,12,65
Columbia,Austerlitz-1,Governor,,Blanks,Democratic,1,3,4
Columbia,Austerlitz-1,Governor,,Voids,Democratic,0,0,0
Columbia,Austerlitz-1,Governor,,Scatterings,Democratic,1,0,1
Columbia,Austerlitz-1,Lieutenant Governor,,KATHY C HOCHUL,Democratic,47,10,57
Columbia,Austerlitz-1,Lieutenant Governor,,JUMAANE WILLIAMS,Democratic,61,14,75
Columbia,Austerlitz-1,Lieutenant Governor,,Blanks,Democratic,6,0,6
Columbia,Austerlitz-1,Lieutenant Governor,,Voids,Democratic,0,0,0
Columbia,Austerlitz-1,Lieutenant Governor,,Scatterings,Democratic,0,0,0
Columbia,Austerlitz-1,Attorney General,,SEAN PATRICK MALONEY,Democratic,21,4,25
Columbia,Austerlitz-1,Attorney General,,LETITIA A JAMES,Democratic,5,5,10
Columbia,Austerlitz-1,Attorney General,,LEECIA R EVE,Democratic,2,1,3
Columbia,Austerlitz-1,Attorney General,,ZEPHYR TEACHOUT,Democratic,84,14,98
Columbia,Austerlitz-1,Attorney General,,Blanks,Democratic,1,0,1
Columbia,Austerlitz-1,Attorney General,,Voids,Democratic,1,0,1
Columbia,Austerlitz-1,Attorney General,,Scatterings,Democratic,0,0,0
