county,precinct,office,district,candidate,party,election_day,absentee,votes
Columbia,Ancram-1,Governor / Lieutenant Governor,,ANDREW M CUOMO / KATHY C HOCHUL,Democratic,123,77,200
Columbia,Ancram-2,Governor / Lieutenant Governor,,ANDREW M CUOMO / KATHY C HOCHUL,Democratic,103,40,143
Columbia,Austerlitz-1,Governor / Lieutenant Governor,,ANDREW M CUOMO / KATHY C HOCHUL,Democratic,220,62,282
Columbia,Austerlitz-2,Governor / Lieutenant Governor,,ANDREW M CUOMO / KATHY C HOCHUL,Democratic,195,83,278
Columbia,Canaan-1,Governor / Lieutenant Governor,,ANDREW M CUOMO / KATHY C HOCHUL,Democratic,216,66,282
Columbia,Canaan-2,Governor / Lieutenant Governor,,ANDREW M CUOMO / KATHY C HOCHUL,Democratic,159,54,213
Columbia,Chatham-1,Governor / Lieutenant Governor,,ANDREW M CUOMO / KATHY C HOCHUL,Democratic,329,82,411
Columbia,Chatham-2,Governor / Lieutenant Governor,,ANDREW M CUOMO / KATHY C HOCHUL,Democratic,236,36,272
Columbia,Chatham-3,Governor / Lieutenant Governor,,ANDREW M CUOMO / KATHY C HOCHUL,Democratic,344,76,420
Columbia,Claverack-1,Governor / Lieutenant Governor,,ANDREW M CUOMO / KATHY C HOCHUL,Democratic,128,33,161
Columbia,Claverack-2,Governor / Lieutenant Governor,,ANDREW M CUOMO / KATHY C HOCHUL,Democratic,171,41,212
Columbia,Claverack-3,Governor / Lieutenant Governor,,ANDREW M CUOMO / KATHY C HOCHUL,Democratic,161,32,193
Columbia,Claverack-4,Governor / Lieutenant Governor,,ANDREW M CUOMO / KATHY C HOCHUL,Democratic,218,47,265
Columbia,Claverack-5,Governor / Lieutenant Governor,,ANDREW M CUOMO / KATHY C HOCHUL,Democratic,107,33,140
Columbia,Clermont-1,Governor / Lieutenant Governor,,ANDREW M CUOMO / KATHY C HOCHUL,Democratic,254,47,301
Columbia,Copake-1,Governor / Lieutenant Governor,,ANDREW M CUOMO / KATHY C HOCHUL,Democratic,269,154,423
Columbia,Copake-2,Governor / Lieutenant Governor,,ANDREW M CUOMO / KATHY C HOCHUL,Democratic,238,27,265
Columbia,Gallatin-1,Governor / Lieutenant Governor,,ANDREW M CUOMO / KATHY C HOCHUL,Democratic,209,93,302
Columbia,Germantown-1,Governor / Lieutenant Governor,,ANDREW M CUOMO / KATHY C HOCHUL,Democratic,180,44,224
Columbia,Germantown-2,Governor / Lieutenant Governor,,ANDREW M CUOMO / KATHY C HOCHUL,Democratic,157,45,202
Columbia,Ghent-1,Governor / Lieutenant Governor,,ANDREW M CUOMO / KATHY C HOCHUL,Democratic,296,35,331
