county,precinct,office,district,Candidate,party,election_day,absentee,votes
Ulster,Kingston Ward 1 -1,Governor,,Andrew M. Cuomo ,DEM,140,9,149
Ulster,Kingston Ward 1 -2,Governor,,Andrew M. Cuomo ,DEM,238,22,260
Ulster,Kingston Ward 1 -3,Governor,,Andrew M. Cuomo ,DEM,229,19,248
Ulster,Kingston Ward 2 -1,Governor,,Andrew M. Cuomo ,DEM,225,15,240
Ulster,Kingston Ward 2 -2,Governor,,Andrew M. Cuomo ,DEM,78,18,96
Ulster,Kingston Ward 2 -3,Governor,,Andrew M. Cuomo ,DEM,210,31,241
Ulster,Kingston Ward 3 -1,Governor,,Andrew M. Cuomo ,DEM,234,31,265
Ulster,Kingston Ward 3 -2,Governor,,Andrew M. Cuomo ,DEM,118,19,137
Ulster,Kingston Ward 3 -3,Governor,,Andrew M. Cuomo ,DEM,178,46,224
Ulster,Kingston Ward 4 -1,Governor,,Andrew M. Cuomo ,DEM,230,13,243
Ulster,Kingston Ward 4 -2,Governor,,Andrew M. Cuomo ,DEM,161,8,169
Ulster,Kingston Ward 5 -1,Governor,,Andrew M. Cuomo ,DEM,147,14,161
Ulster,Kingston Ward 5 -2,Governor,,Andrew M. Cuomo ,DEM,236,29,265
Ulster,Kingston Ward 5 -3,Governor,,Andrew M. Cuomo ,DEM,85,6,91
Ulster,Kingston Ward 6 -1,Governor,,Andrew M. Cuomo ,DEM,194,16,210
Ulster,Kingston Ward 6 -2,Governor,,Andrew M. Cuomo ,DEM,123,10,133
Ulster,Kingston Ward 6 -3,Governor,,Andrew M. Cuomo ,DEM,228,30,258
Ulster,Kingston Ward 7 -1,Governor,,Andrew M. Cuomo ,DEM,121,18,139
Ulster,Kingston Ward 7 -2,Governor,,Andrew M. Cuomo ,DEM,191,16,207
Ulster,Kingston Ward 7 -3,Governor,,Andrew M. Cuomo ,DEM,147,10,157
Ulster,Kingston Ward 8 -1,Governor,,Andrew M. Cuomo ,DEM,158,20,178
Ulster,Kingston Ward 8 -2,Governor,,Andrew M. Cuomo ,DEM,113,12,125
Ulster,Kingston Ward 8 -3,Governor,,Andrew M. Cuomo ,DEM,172,23,195
Ulster,Kingston Ward 9 -1,Governor,,Andrew M. Cuomo ,DEM,185,10,195
Ulster,Kingston Ward 9 -2,Governor,,Andrew M. Cuomo ,DEM,240,34,274
Ulster,Kingston Ward 9 -3,Governor,,Andrew M. Cuomo ,DEM,171,19,190
Ulster,Denning 1,Governor,,Andrew M. Cuomo ,DEM,47,13,60
Ulster,Denning 2,Governor,,Andrew M. Cuomo ,DEM,22,5,27
Ulster,Esopus 1,Governor,,Andrew M. Cuomo ,DEM,339,14,353
Ulster,Esopus 2,Governor,,Andrew M. Cuomo ,DEM,148,17,165
Ulster,Esopus 3,Governor,,Andrew M. Cuomo ,DEM,215,28,243
Ulster,Esopus 4,Governor,,Andrew M. Cuomo ,DEM,273,26,299
Ulster,Esopus 5,Governor,,Andrew M. Cuomo ,DEM,178,13,191
Ulster,Esopus 6,Governor,,Andrew M. Cuomo ,DEM,210,25,235
Ulster,Esopus 7,Governor,,Andrew M. Cuomo ,DEM,235,20,255
Ulster,Gardiner 1,Governor,,Andrew M. Cuomo ,DEM,314,43,357
Ulster,Gardiner 2,Governor,,Andrew M. Cuomo ,DEM,418,34,452
Ulster,Gardiner 3,Governor,,Andrew M. Cuomo ,DEM,423,57,480
Ulster,Gardiner 4,Governor,,Andrew M. Cuomo ,DEM,176,20,196
Ulster,Hardenburgh 1,Governor,,Andrew M. Cuomo ,DEM,5,11,16
Ulster,Hardenburgh 2,Governor,,Andrew M. Cuomo ,DEM,20,5,25
Ulster,Hurley 1,Governor,,Andrew M. Cuomo ,DEM,187,21,208
Ulster,Hurley 2,Governor,,Andrew M. Cuomo ,DEM,189,17,206
Ulster,Hurley 3,Governor,,Andrew M. Cuomo ,DEM,211,30,241
Ulster,Hurley 4,Governor,,Andrew M. Cuomo ,DEM,147,19,166
Ulster,Hurley 5,Governor,,Andrew M. Cuomo ,DEM,235,29,264
Ulster,Hurley 6,Governor,,Andrew M. Cuomo ,DEM,123,6,129
Ulster,Hurley 7,Governor,,Andrew M. Cuomo ,DEM,245,43,288
Ulster,Hurley 8,Governor,,Andrew M. Cuomo ,DEM,149,14,163
Ulster,"Kingston, Town 1",Governor,,Andrew M. Cuomo ,DEM,147,8,155
Ulster,Lloyd 1,Governor,,Andrew M. Cuomo ,DEM,276,24,300
Ulster,Lloyd 2,Governor,,Andrew M. Cuomo ,DEM,245,19,264
Ulster,Lloyd 3,Governor,,Andrew M. Cuomo ,DEM,191,11,202
Ulster,Lloyd 4,Governor,,Andrew M. Cuomo ,DEM,236,19,255
Ulster,Lloyd 5,Governor,,Andrew M. Cuomo ,DEM,392,31,423
Ulster,Lloyd 6,Governor,,Andrew M. Cuomo ,DEM,177,25,202
Ulster,Lloyd 7,Governor,,Andrew M. Cuomo ,DEM,255,23,278
Ulster,Marbletown 1,Governor,,Andrew M. Cuomo ,DEM,130,16,146
Ulster,Marbletown 2,Governor,,Andrew M. Cuomo ,DEM,222,22,244
Ulster,Marbletown 3,Governor,,Andrew M. Cuomo ,DEM,262,44,306
Ulster,Marbletown 4,Governor,,Andrew M. Cuomo ,DEM,163,41,204
Ulster,Marbletown 5,Governor,,Andrew M. Cuomo ,DEM,208,26,234
Ulster,Marbletown 6,Governor,,Andrew M. Cuomo ,DEM,250,37,287
Ulster,Marbletown 7,Governor,,Andrew M. Cuomo ,DEM,329,42,371
Ulster,Marlborough 1,Governor,,Andrew M. Cuomo ,DEM,187,9,196
Ulster,Marlborough 2,Governor,,Andrew M. Cuomo ,DEM,140,10,150
Ulster,Marlborough 3,Governor,,Andrew M. Cuomo ,DEM,181,16,197
Ulster,Marlborough 4,Governor,,Andrew M. Cuomo ,DEM,215,10,225
Ulster,Marlborough 5,Governor,,Andrew M. Cuomo ,DEM,178,17,195
Ulster,Marlborough 6,Governor,,Andrew M. Cuomo ,DEM,162,5,167
Ulster,New Paltz 1,Governor,,Andrew M. Cuomo ,DEM,604,120,724
Ulster,New Paltz 2,Governor,,Andrew M. Cuomo ,DEM,238,30,268
Ulster,New Paltz 3,Governor,,Andrew M. Cuomo ,DEM,182,17,199
Ulster,New Paltz 4,Governor,,Andrew M. Cuomo ,DEM,550,45,595
Ulster,New Paltz 5,Governor,,Andrew M. Cuomo ,DEM,234,24,258
Ulster,New Paltz 6,Governor,,Andrew M. Cuomo ,DEM,364,50,414
Ulster,New Paltz 7,Governor,,Andrew M. Cuomo ,DEM,422,39,461
Ulster,New Paltz 8,Governor,,Andrew M. Cuomo ,DEM,254,18,272
Ulster,New Paltz 9,Governor,,Andrew M. Cuomo ,DEM,710,24,734
Ulster,New Paltz 10,Governor,,Andrew M. Cuomo ,DEM,237,18,255
Ulster,Olive 1,Governor,,Andrew M. Cuomo ,DEM,316,38,354
