county,precinct,office,district,candidate,party,votes,,,,,,,
Monroe,Gates 25,Ballots Cast,,,,242,,,,,,,
Monroe,Gates 26,Ballots Cast,,,,413,,,,,,,
Monroe,Gates 27,Ballots Cast,,,,411,,,,,,,
Monroe,Gates 28,Ballots Cast,,,,242,,,,,,,
Monroe,Gates 29,Ballots Cast,,,,305,,,,,,,
Monroe,Gates 30,Ballots Cast,,,,206,,,,,,,
Monroe,Gates 31,Ballots Cast,,,,274,,,,,,,
Monroe,Gates 32,Ballots Cast,,,,342,,,,,,,
Monroe,Gates 33,Ballots Cast,,,,149,,,,,,,
Monroe,Gates 34,Ballots Cast,,,,314,,,,,,,
Monroe,Gates 35,Ballots Cast,,,,219,,,,,,,
Monroe,Greece 1,Ballots Cast,,,,294,,,,,,,
Monroe,Greece 2,Ballots Cast,,,,408,,,,,,,
Monroe,Greece 3,Ballots Cast,,,,265,,,,,,,
Monroe,Greece 4,Ballots Cast,,,,256,,,,,,,
Monroe,Greece 5,Ballots Cast,,,,255,,,,,,,
Monroe,Greece 6,Ballots Cast,,,,228,,,,,,,
Monroe,Greece 7,Ballots Cast,,,,322,,,,,,,
Monroe,Greece 8,Ballots Cast,,,,295,,,,,,,
Monroe,Greece 9,Ballots Cast,,,,318,,,,,,,
Monroe,Greece 10,Ballots Cast,,,,271,,,,,,,
Monroe,Greece 11,Ballots Cast,,,,148,,,,,,,
Monroe,Greece 12,Ballots Cast,,,,191,,,,,,,
Monroe,Greece 13,Ballots Cast,,,,268,,,,,,,
Monroe,Greece 14,Ballots Cast,,,,214,,,,,,,
Monroe,Greece 15,Ballots Cast,,,,285,,,,,,,
Monroe,Greece 16,Ballots Cast,,,,206,,,,,,,
Monroe,Greece 17,Ballots Cast,,,,439,,,,,,,
Monroe,Greece 18,Ballots Cast,,,,371,,,,,,,
Monroe,Greece 19,Ballots Cast,,,,250,,,,,,,
Monroe,Greece 20,Ballots Cast,,,,285,,,,,,,
Monroe,Greece 21,Ballots Cast,,,,269,,,,,,,
Monroe,Greece 22,Ballots Cast,,,,253,,,,,,,
Monroe,Greece 23,Ballots Cast,,,,453,,,,,,,
Monroe,Greece 24,Ballots Cast,,,,451,,,,,,,
Monroe,Greece 25,Ballots Cast,,,,325,,,,,,,
Monroe,Greece 26,Ballots Cast,,,,242,,,,,,,
Monroe,Greece 27,Ballots Cast,,,,543,,,,,,,
Monroe,Greece 28,Ballots Cast,,,,403,,,,,,,
Monroe,Greece 29,Ballots Cast,,,,331,,,,,,,
Monroe,Greece 30,Ballots Cast,,,,229,,,,,,,
Monroe,Greece 31,Ballots Cast,,,,264,,,,,,,
Monroe,Greece 32,Ballots Cast,,,,310,,,,,,,
Monroe,Greece 33,Ballots Cast,,,,400,,,,,,,
Monroe,Greece 34,Ballots Cast,,,,367,,,,,,,
Monroe,Greece 35,Ballots Cast,,,,317,,,,,,,
Monroe,Greece 36,Ballots Cast,,,,452,,,,,,,
Monroe,Greece 37,Ballots Cast,,,,239,,,,,,,
Monroe,Greece 38,Ballots Cast,,,,486,,,,,,,
Monroe,Greece 39,Ballots Cast,,,,221,,,,,,,
Monroe,Greece 40,Ballots Cast,,,,251,,,,,,,
Monroe,Greece 41,Ballots Cast,,,,365,,,,,,,
Monroe,Greece 42,Ballots Cast,,,,258,,,,,,,
Monroe,Greece 43,Ballots Cast,,,,363,,,,,,,
Monroe,Greece 44,Ballots Cast,,,,469,,,,,,,
Monroe,Greece 45,Ballots Cast,,,,536,,,,,,,
Monroe,Greece 46,Ballots Cast,,,,222,,,,,,,
Monroe,Greece 47,Ballots Cast,,,,320,,,,,,,
Monroe,Greece 48,Ballots Cast,,,,235,,,,,,,
Monroe,Greece 49,Ballots Cast,,,,228,,,,,,,
Monroe,Greece 50,Ballots Cast,,,,316,,,,,,,
Monroe,Greece 51,Ballots Cast,,,,212,,,,,,,
Monroe,Greece 52,Ballots Cast,,,,424,,,,,,,
Monroe,Greece 53,Ballots Cast,,,,289,,,,,,,
Monroe,Greece 54,Ballots Cast,,,,388,,,,,,,
Monroe,Greece 55,Ballots Cast,,,,247,,,,,,,
Monroe,Greece 56,Ballots Cast,,,,381,,,,,,,
Monroe,Greece 57,Ballots Cast,,,,310,,,,,,,
Monroe,Greece 58,Ballots Cast,,,,428,,,,,,,
Monroe,Greece 59,Ballots Cast,,,,235,,,,,,,
Monroe,Greece 60,Ballots Cast,,,,272,,,,,,,
Monroe,Greece 61,Ballots Cast,,,,319,,,,,,,
Monroe,Greece 62,Ballots Cast,,,,427,,,,,,,
Monroe,Greece 63,Ballots Cast,,,,349,,,,,,,
Monroe,Greece 64,Ballots Cast,,,,278,,,,,,,
Monroe,Greece 65,Ballots Cast,,,,310,,,,,,,
Monroe,Greece 66,Ballots Cast,,,,196,,,,,,,
Monroe,Greece 67,Ballots Cast,,,,288,,,,,,,
Monroe,Greece 68,Ballots Cast,,,,388,,,,,,,
Monroe,Greece 69,Ballots Cast,,,,223,,,,,,,
Monroe,Greece 70,Ballots Cast,,,,931,,,,,,,
Monroe,Greece 71,Ballots Cast,,,,411,,,,,,,
Monroe,Greece 72,Ballots Cast,,,,486,,,,,,,
Monroe,Greece 73,Ballots Cast,,,,189,,,,,,,
Monroe,Greece 74,Ballots Cast,,,,318,,,,,,,
Monroe,Greece 75,Ballots Cast,,,,283,,,,,,,
Monroe,Greece 76,Ballots Cast,,,,285,,,,,,,
Monroe,Greece 77,Ballots Cast,,,,403,,,,,,,
Monroe,Greece 78,Ballots Cast,,,,226,,,,,,,
Monroe,Greece 79,Ballots Cast,,,,665,,,,,,,
Monroe,Greece 80,Ballots Cast,,,,461,,,,,,,
Monroe,Greece 81,Ballots Cast,,,,230,,,,,,,
Monroe,Greece 82,Ballots Cast,,,,385,,,,,,,
Monroe,Greece 83,Ballots Cast,,,,184,,,,,,,
Monroe,Greece 84,Ballots Cast,,,,394,,,,,,,
Monroe,Greece 85,Ballots Cast,,,,429,,,,,,,
Monroe,Greece 86,Ballots Cast,,,,429,,,,,,,
Monroe,Greece 87,Ballots Cast,,,,310,,,,,,,
Monroe,Greece 88,Ballots Cast,,,,400,,,,,,,
Monroe,Greece 89,Ballots Cast,,,,295,,,,,,,
Monroe,Greece 90,Ballots Cast,,,,427,,,,,,,
Monroe,Greece 91,Ballots Cast,,,,631,,,,,,,
Monroe,Greece 92,Ballots Cast,,,,538,,,,,,,
Monroe,Greece 93,Ballots Cast,,,,453,,,,,,,
Monroe,Greece 94,Ballots Cast,,,,392,,,,,,,
Monroe,Greece 95,Ballots Cast,,,,256,,,,,,,
Monroe,Greece 96,Ballots Cast,,,,430,,,,,,,
Monroe,Greece 97,Ballots Cast,,,,680,,,,,,,
Monroe,Greece 98,Ballots Cast,,,,575,,,,,,,
Monroe,Greece 99,Ballots Cast,,,,376,,,,,,,
Monroe,Greece 100,Ballots Cast,,,,516,,,,,,,
Monroe,Greece 101,Ballots Cast,,,,237,,,,,,,
Monroe,Greece 102,Ballots Cast,,,,550,,,,,,,
Monroe,Greece 103,Ballots Cast,,,,424,,,,,,,
Monroe,Greece 104,Ballots Cast,,,,299,,,,,,,
