assembly_district,precinct,county,party,office,district,candidate,votes
65,1,New York,Democratic,President,,Emergency,0
65,1,New York,Democratic,President,,Absentee/Military,0
65,1,New York,Democratic,President,,Federal,1
65,1,New York,Democratic,President,,Affidavit,12
65,1,New York,Democratic,President,,Bernie Sanders,33
65,1,New York,Democratic,President,,Hillary Clinton,97
65,2,New York,Democratic,President,,Emergency,0
65,2,New York,Democratic,President,,Absentee/Military,2
65,2,New York,Democratic,President,,Federal,1
65,2,New York,Democratic,President,,Affidavit,11
65,2,New York,Democratic,President,,Bernie Sanders,62
65,2,New York,Democratic,President,,Hillary Clinton,149
65,3,New York,Democratic,President,,Emergency,0
65,3,New York,Democratic,President,,Absentee/Military,2
65,3,New York,Democratic,President,,Federal,1
65,3,New York,Democratic,President,,Affidavit,15
65,3,New York,Democratic,President,,Bernie Sanders,39
65,3,New York,Democratic,President,,Hillary Clinton,88
65,4,New York,Democratic,President,,Emergency,0
65,4,New York,Democratic,President,,Absentee/Military,5
65,4,New York,Democratic,President,,Federal,1
65,4,New York,Democratic,President,,Affidavit,10
65,4,New York,Democratic,President,,Bernie Sanders,59
65,4,New York,Democratic,President,,Hillary Clinton,129
65,5,New York,Democratic,President,,Emergency,0
65,5,New York,Democratic,President,,Absentee/Military,2
65,5,New York,Democratic,President,,Federal,1
65,5,New York,Democratic,President,,Affidavit,6
65,5,New York,Democratic,President,,Bernie Sanders,52
65,5,New York,Democratic,President,,Hillary Clinton,93
65,6,New York,Democratic,President,,Emergency,0
65,6,New York,Democratic,President,,Absentee/Military,6
65,6,New York,Democratic,President,,Federal,0
65,6,New York,Democratic,President,,Affidavit,6
65,6,New York,Democratic,President,,Bernie Sanders,111
65,6,New York,Democratic,President,,Hillary Clinton,135
65,7,New York,Democratic,President,,Emergency,0
65,7,New York,Democratic,President,,Absentee/Military,5
65,7,New York,Democratic,President,,Federal,0
65,7,New York,Democratic,President,,Affidavit,6
65,7,New York,Democratic,President,,Bernie Sanders,101
65,7,New York,Democratic,President,,Hillary Clinton,130
65,8,New York,Democratic,President,,Emergency,0
65,8,New York,Democratic,President,,Absentee/Military,5
65,8,New York,Democratic,President,,Federal,3
65,8,New York,Democratic,President,,Affidavit,3
65,8,New York,Democratic,President,,Bernie Sanders,130
65,8,New York,Democratic,President,,Hillary Clinton,151
65,9,New York,Democratic,President,,Emergency,0
65,9,New York,Democratic,President,,Absentee/Military,1
65,9,New York,Democratic,President,,Federal,3
65,9,New York,Democratic,President,,Affidavit,8
65,9,New York,Democratic,President,,Bernie Sanders,101
65,9,New York,Democratic,President,,Hillary Clinton,81
65,10,New York,Democratic,President,,Emergency,0
65,10,New York,Democratic,President,,Absentee/Military,7
65,10,New York,Democratic,President,,Federal,4
65,10,New York,Democratic,President,,Affidavit,6
65,10,New York,Democratic,President,,Bernie Sanders,97
65,10,New York,Democratic,President,,Hillary Clinton,125
65,11,New York,Democratic,President,,Emergency,0
65,11,New York,Democratic,President,,Absentee/Military,4
65,11,New York,Democratic,President,,Federal,2
65,11,New York,Democratic,President,,Affidavit,7
65,11,New York,Democratic,President,,Bernie Sanders,54
65,11,New York,Democratic,President,,Hillary Clinton,82
65,12,New York,Democratic,President,,Emergency,0
65,12,New York,Democratic,President,,Absentee/Military,5
65,12,New York,Democratic,President,,Federal,1
65,12,New York,Democratic,President,,Affidavit,0
65,12,New York,Democratic,President,,Bernie Sanders,48
65,12,New York,Democratic,President,,Hillary Clinton,112
65,13,New York,Democratic,President,,Emergency,0
65,13,New York,Democratic,President,,Absentee/Military,3
65,13,New York,Democratic,President,,Federal,3
65,13,New York,Democratic,President,,Affidavit,1
65,13,New York,Democratic,President,,Bernie Sanders,73
65,13,New York,Democratic,President,,Hillary Clinton,139
65,14,New York,Democratic,President,,Emergency,0
65,14,New York,Democratic,President,,Absentee/Military,6
65,14,New York,Democratic,President,,Federal,4
65,14,New York,Democratic,President,,Affidavit,5
65,14,New York,Democratic,President,,Bernie Sanders,57
65,14,New York,Democratic,President,,Hillary Clinton,169
65,15,New York,Democratic,President,,Emergency,0
65,15,New York,Democratic,President,,Absentee/Military,3
65,15,New York,Democratic,President,,Federal,5
65,15,New York,Democratic,President,,Affidavit,9
65,15,New York,Democratic,President,,Bernie Sanders,64
65,15,New York,Democratic,President,,Hillary Clinton,140
65,16,New York,Democratic,President,,Emergency,0
65,16,New York,Democratic,President,,Absentee/Military,12
65,16,New York,Democratic,President,,Federal,7
65,16,New York,Democratic,President,,Affidavit,7
65,16,New York,Democratic,President,,Bernie Sanders,106
65,16,New York,Democratic,President,,Hillary Clinton,209
65,17,New York,Democratic,President,,Emergency,0
65,17,New York,Democratic,President,,Absentee/Military,0
65,17,New York,Democratic,President,,Federal,0
65,17,New York,Democratic,President,,Affidavit,0
65,17,New York,Democratic,President,,Bernie Sanders,3
65,17,New York,Democratic,President,,Hillary Clinton,4
65,18,New York,Democratic,President,,Emergency,0
65,18,New York,Democratic,President,,Absentee/Military,3
65,18,New York,Democratic,President,,Federal,0
65,18,New York,Democratic,President,,Affidavit,3
65,18,New York,Democratic,President,,Bernie Sanders,53
65,18,New York,Democratic,President,,Hillary Clinton,109
65,19,New York,Democratic,President,,Emergency,0
65,19,New York,Democratic,President,,Absentee/Military,2
65,19,New York,Democratic,President,,Federal,1
65,19,New York,Democratic,President,,Affidavit,6
65,19,New York,Democratic,President,,Bernie Sanders,54
65,19,New York,Democratic,President,,Hillary Clinton,119
65,20,New York,Democratic,President,,Emergency,0
65,20,New York,Democratic,President,,Absentee/Military,4
65,20,New York,Democratic,President,,Federal,0
65,20,New York,Democratic,President,,Affidavit,5
65,20,New York,Democratic,President,,Bernie Sanders,56
65,20,New York,Democratic,President,,Hillary Clinton,123
65,21,New York,Democratic,President,,Emergency,0
65,21,New York,Democratic,President,,Absentee/Military,1
65,21,New York,Democratic,President,,Federal,3
65,21,New York,Democratic,President,,Affidavit,4
65,21,New York,Democratic,President,,Bernie Sanders,75
65,21,New York,Democratic,President,,Hillary Clinton,130
65,22,New York,Democratic,President,,Emergency,0
65,22,New York,Democratic,President,,Absentee/Military,5
65,22,New York,Democratic,President,,Federal,3
65,22,New York,Democratic,President,,Affidavit,2
65,22,New York,Democratic,President,,Bernie Sanders,86
65,22,New York,Democratic,President,,Hillary Clinton,146
65,23,New York,Democratic,President,,Emergency,0
65,23,New York,Democratic,President,,Absentee/Military,1
65,23,New York,Democratic,President,,Federal,0
65,23,New York,Democratic,President,,Affidavit,1
65,23,New York,Democratic,President,,Bernie Sanders,51
65,23,New York,Democratic,President,,Hillary Clinton,64
65,24,New York,Democratic,President,,Emergency,0
65,24,New York,Democratic,President,,Absentee/Military,5
65,24,New York,Democratic,President,,Federal,1
65,24,New York,Democratic,President,,Affidavit,8
65,24,New York,Democratic,President,,Bernie Sanders,81
65,24,New York,Democratic,President,,Hillary Clinton,94
65,25,New York,Democratic,President,,Emergency,0
65,25,New York,Democratic,President,,Absentee/Military,0
65,25,New York,Democratic,President,,Federal,0
65,25,New York,Democratic,President,,Affidavit,1
65,25,New York,Democratic,President,,Bernie Sanders,34
65,25,New York,Democratic,President,,Hillary Clinton,45
65,26,New York,Democratic,President,,Emergency,0
65,26,New York,Democratic,President,,Absentee/Military,3
65,26,New York,Democratic,President,,Federal,0
65,26,New York,Democratic,President,,Affidavit,2
65,26,New York,Democratic,President,,Bernie Sanders,35
65,26,New York,Democratic,President,,Hillary Clinton,65
65,27,New York,Democratic,President,,Emergency,0
65,27,New York,Democratic,President,,Absentee/Military,0
65,27,New York,Democratic,President,,Federal,0
65,27,New York,Democratic,President,,Affidavit,9
65,27,New York,Democratic,President,,Bernie Sanders,91
65,27,New York,Democratic,President,,Hillary Clinton,103
65,28,New York,Democratic,President,,Emergency,0
65,28,New York,Democratic,President,,Absentee/Military,1
65,28,New York,Democratic,President,,Federal,0
65,28,New York,Democratic,President,,Affidavit,7
65,28,New York,Democratic,President,,Bernie Sanders,55
65,28,New York,Democratic,President,,Hillary Clinton,52
65,29,New York,Democratic,President,,Emergency,0
65,29,New York,Democratic,President,,Absentee/Military,0
65,29,New York,Democratic,President,,Federal,2
65,29,New York,Democratic,President,,Affidavit,1
65,29,New York,Democratic,President,,Bernie Sanders,44
65,29,New York,Democratic,President,,Hillary Clinton,50
