county,office,district,party,candidate,votes,
Albany,President,,REP,George W. Bush,45408,
Allegany,President,,REP,George W. Bush,10916,
Broome,President,,REP,George W. Bush,35598,
Cattaraugus,President,,REP,George W. Bush,17355,
Cayuga,President,,REP,George W. Bush,14066,
Chautauqua,President,,REP,George W. Bush,27369,
Chemung,President,,REP,George W. Bush,18158,
Chenango,President,,REP,George W. Bush,9625,
Clinton,President,,REP,George W. Bush,12664,
Columbia,President,,REP,George W. Bush,12084,
Cortland,President,,REP,George W. Bush,9374,
Delaware,President,,REP,George W. Bush,10154,
Dutchess,President,,REP,George W. Bush,49210,
Erie,President,,REP,George W. Bush,149280,
Essex,President,,REP,George W. Bush,8476,
Franklin,President,,REP,George W. Bush,7368,
Fulton,President,,REP,George W. Bush,10964,
Genesee,President,,REP,George W. Bush,13479,
Greene,President,,REP,George W. Bush,10439,
Hamilton,President,,REP,George W. Bush,2269,
Herkimer,President,,REP,George W. Bush,13430,
Jefferson,President,,REP,George W. Bush,17401,
Lewis,President,,REP,George W. Bush,5840,
Livingston,President,,REP,George W. Bush,14363,
Madison,President,,REP,George W. Bush,14003,
Monroe,President,,REP,George W. Bush,131002,
Montgomery,President,,REP,George W. Bush,9210,
Nassau,President,,REP,George W. Bush,214022,
Niagara,President,,REP,George W. Bush,38554,
Oneida,President,,REP,George W. Bush,44993,
Onondaga,President,,REP,George W. Bush,78526,
Ontario,President,,REP,George W. Bush,22409,
Orange,President,,REP,George W. Bush,59371,
Orleans,President,,REP,George W. Bush,8679,
Oswego,President,,REP,George W. Bush,21911,
Otsego,President,,REP,George W. Bush,11697,
Putnam,President,,REP,George W. Bush,19852,
Rensselaer,President,,REP,George W. Bush,27223,
Rockland,President,,REP,George W. Bush,44958,
St. Lawrence,President,,REP,George W. Bush,15797,
Saratoga,President,,REP,George W. Bush,44292,
Schenectady,President,,REP,George W. Bush,26161,
Schoharie,President,,REP,George W. Bush,7035,
Schuyler,President,,REP,George W. Bush,4154,
Seneca,President,,REP,George W. Bush,6377,
Steuben,President,,REP,George W. Bush,23244,
Suffolk,President,,REP,George W. Bush,225652,
Sullivan,President,,REP,George W. Bush,11858,
Tioga,President,,REP,George W. Bush,11823,
Tompkins,President,,REP,George W. Bush,12957,
Ulster,President,,REP,George W. Bush,31015,
Warren,President,,REP,George W. Bush,14257,
Washington,President,,REP,George W. Bush,11963,
Wayne,President,,REP,George W. Bush,20136,
Westchester,President,,REP,George W. Bush,130999,
Wyoming,President,,REP,George W. Bush,10245,
Yates,President,,REP,George W. Bush,5287,
Bronx,President,,REP,George W. Bush,33224,
Kings,President,,REP,George W. Bush,90355,
New York,President,,REP,George W. Bush,77331,
Queens,President,,REP,George W. Bush,113528,
Richmond,President,,REP,George W. Bush,59187,
Albany,President,,DEM,Al Gore,82325,
Allegany,President,,DEM,Al Gore,6109,
Broome,President,,DEM,Al Gore,43119,
Cattaraugus,President,,DEM,Al Gore,13368,
Cayuga,President,,DEM,Al Gore,16329,
Chautauqua,President,,DEM,Al Gore,26045,
Chemung,President,,DEM,Al Gore,16878,
Chenango,President,,DEM,Al Gore,8756,
Clinton,President,,DEM,Al Gore,14871,
Columbia,President,,DEM,Al Gore,12858,
Cortland,President,,DEM,Al Gore,9237,
Delaware,President,,DEM,Al Gore,8072,
Dutchess,President,,DEM,Al Gore,50499,
Erie,President,,DEM,Al Gore,227975,
Essex,President,,DEM,Al Gore,7546,
Franklin,President,,DEM,Al Gore,8528,
Fulton,President,,DEM,Al Gore,9028,
Genesee,President,,DEM,Al Gore,9647,
Greene,President,,DEM,Al Gore,8111,
Hamilton,President,,DEM,Al Gore,1066,
Herkimer,President,,DEM,Al Gore,11826,
Jefferson,President,,DEM,Al Gore,16117,
Lewis,President,,DEM,Al Gore,4144,
Livingston,President,,DEM,Al Gore,10054,
Madison,President,,DEM,Al Gore,11444,
Monroe,President,,DEM,Al Gore,157314,
Montgomery,President,,DEM,Al Gore,9888,
Nassau,President,,DEM,Al Gore,331050,
Niagara,President,,DEM,Al Gore,45133,
Oneida,President,,DEM,Al Gore,42253,
Onondaga,President,,DEM,Al Gore,104766,
Ontario,President,,DEM,Al Gore,19147,
Orange,President,,DEM,Al Gore,56567,
Orleans,President,,DEM,Al Gore,5753,
Oswego,President,,DEM,Al Gore,21869,
Otsego,President,,DEM,Al Gore,10976,
Putnam,President,,DEM,Al Gore,17872,
Rensselaer,President,,DEM,Al Gore,33178,
Rockland,President,,DEM,Al Gore,66596,
St. Lawrence,President,,DEM,Al Gore,20664,
Saratoga,President,,DEM,Al Gore,41596,
Schenectady,President,,DEM,Al Gore,34250,
Schoharie,President,,DEM,Al Gore,5178,
Schuyler,President,,DEM,Al Gore,3132,
Seneca,President,,DEM,Al Gore,6578,
Steuben,President,,DEM,Al Gore,14014,
Suffolk,President,,DEM,Al Gore,295902,
Sullivan,President,,DEM,Al Gore,13895,
Tioga,President,,DEM,Al Gore,8838,
Tompkins,President,,DEM,Al Gore,20435,
Ulster,President,,DEM,Al Gore,36321,
Warren,President,,DEM,Al Gore,11656,
Washington,President,,DEM,Al Gore,9238,
Wayne,President,,DEM,Al Gore,14421,
Westchester,President,,DEM,Al Gore,211771,
Wyoming,President,,DEM,Al Gore,5762,
Yates,President,,DEM,Al Gore,3823,
Bronx,President,,DEM,Al Gore,256322,
Kings,President,,DEM,Al Gore,472402,
New York,President,,DEM,Al Gore,427714,
Queens,President,,DEM,Al Gore,401067,
Richmond,President,,DEM,Al Gore,70922,
Albany,President,,IND,John Hagelin,695,
Allegany,President,,IND,John Hagelin,76,
Broome,President,,IND,John Hagelin,351,
Cattaraugus,President,,IND,John Hagelin,126,
Cayuga,President,,IND,John Hagelin,107,
Chautauqua,President,,IND,John Hagelin,299,
Chemung,President,,IND,John Hagelin,112,
Chenango,President,,IND,John Hagelin,77,
Clinton,President,,IND,John Hagelin,211,
Columbia,President,,IND,John Hagelin,196,
Cortland,President,,IND,John Hagelin,76,
Delaware,President,,IND,John Hagelin,80,
Dutchess,President,,IND,John Hagelin,320,
Erie,President,,IND,John Hagelin,1989,
Essex,President,,IND,John Hagelin,114,
Franklin,President,,IND,John Hagelin,95,
Fulton,President,,IND,John Hagelin,112,
Genesee,President,,IND,John Hagelin,199,
Greene,President,,IND,John Hagelin,134,
Hamilton,President,,IND,John Hagelin,10,
Herkimer,President,,IND,John Hagelin,111,
Jefferson,President,,IND,John Hagelin,180,
Lewis,President,,IND,John Hagelin,59,
Livingston,President,,IND,John Hagelin,182,
Madison,President,,IND,John Hagelin,103,
Monroe,President,,IND,John Hagelin,882,
Montgomery,President,,IND,John Hagelin,146,
Nassau,President,,IND,John Hagelin,2884,
Niagara,President,,IND,John Hagelin,344,
Oneida,President,,IND,John Hagelin,425,
Onondaga,President,,IND,John Hagelin,857,
Ontario,President,,IND,John Hagelin,155,
Orange,President,,IND,John Hagelin,469,
Orleans,President,,IND,John Hagelin,38,
Oswego,President,,IND,John Hagelin,197,
Otsego,President,,IND,John Hagelin,120,
Putnam,President,,IND,John Hagelin,109,
Rensselaer,President,,IND,John Hagelin,285,
Rockland,President,,IND,John Hagelin,461,
St. Lawrence,President,,IND,John Hagelin,157,
Saratoga,President,,IND,John Hagelin,377,
Schenectady,President,,IND,John Hagelin,250,
Schoharie,President,,IND,John Hagelin,47,
Schuyler,President,,IND,John Hagelin,45,
Seneca,President,,IND,John Hagelin,55,
Steuben,President,,IND,John Hagelin,212,
Suffolk,President,,IND,John Hagelin,4616,
Sullivan,President,,IND,John Hagelin,114,
Tioga,President,,IND,John Hagelin,64,
Tompkins,President,,IND,John Hagelin,90,
Ulster,President,,IND,John Hagelin,340,
Warren,President,,IND,John Hagelin,125,
Washington,President,,IND,John Hagelin,142,
Wayne,President,,IND,John Hagelin,136,
Westchester,President,,IND,John Hagelin,926,
Wyoming,President,,IND,John Hagelin,67,
Yates,President,,IND,John Hagelin,51,
Bronx,President,,IND,John Hagelin,536,
Kings,President,,IND,John Hagelin,895,
New York,President,,IND,John Hagelin,855,
Queens,President,,IND,John Hagelin,721,
Richmond,President,,IND,John Hagelin,154,
Albany,President,,CON,George W. Bush,2216,
Allegany,President,,CON,George W. Bush,520,
Broome,President,,CON,George W. Bush,1348,
Cattaraugus,President,,CON,George W. Bush,1027,
Cayuga,President,,CON,George W. Bush,922,
Chautauqua,President,,CON,George W. Bush,1695,
Chemung,President,,CON,George W. Bush,621,
Chenango,President,,CON,George W. Bush,408,
Clinton,President,,CON,George W. Bush,610,
Columbia,President,,CON,George W. Bush,1069,
Cortland,President,,CON,George W. Bush,483,
Delaware,President,,CON,George W. Bush,508,
Dutchess,President,,CON,George W. Bush,3459,
Erie,President,,CON,George W. Bush,10896,
Essex,President,,CON,George W. Bush,346,
Franklin,President,,CON,George W. Bush,275,
Fulton,President,,CON,George W. Bush,470,
Genesee,President,,CON,George W. Bush,980,
Greene,President,,CON,George W. Bush,893,
Hamilton,President,,CON,George W. Bush,119,
Herkimer,President,,CON,George W. Bush,717,
Jefferson,President,,CON,George W. Bush,791,
Lewis,President,,CON,George W. Bush,263,
Livingston,President,,CON,George W. Bush,881,
Madison,President,,CON,George W. Bush,876,
Monroe,President,,CON,George W. Bush,10264,
Montgomery,President,,CON,George W. Bush,555,
Nassau,President,,CON,George W. Bush,12932,
Niagara,President,,CON,George W. Bush,2398,
Oneida,President,,CON,George W. Bush,2610,
Onondaga,President,,CON,George W. Bush,5152,
Ontario,President,,CON,George W. Bush,1476,
Orange,President,,CON,George W. Bush,3481,
Orleans,President,,CON,George W. Bush,523,
Oswego,President,,CON,George W. Bush,1338,
Otsego,President,,CON,George W. Bush,522,
Putnam,President,,CON,George W. Bush,2001,
Rensselaer,President,,CON,George W. Bush,2339,
Rockland,President,,CON,George W. Bush,3483,
St. Lawrence,President,,CON,George W. Bush,652,
Saratoga,President,,CON,George W. Bush,2331,
Schenectady,President,,CON,George W. Bush,1800,
Schoharie,President,,CON,George W. Bush,424,
Schuyler,President,,CON,George W. Bush,227,
Seneca,President,,CON,George W. Bush,357,
Steuben,President,,CON,George W. Bush,956,
Suffolk,President,,CON,George W. Bush,15340,
Sullivan,President,,CON,George W. Bush,845,
Tioga,President,,CON,George W. Bush,416,
Tompkins,President,,CON,George W. Bush,394,
Ulster,President,,CON,George W. Bush,2432,
Warren,President,,CON,George W. Bush,736,
Washington,President,,CON,George W. Bush,633,
Wayne,President,,CON,George W. Bush,1565,
Westchester,President,,CON,George W. Bush,8279,
Wyoming,President,,CON,George W. Bush,564,
Yates,President,,CON,George W. Bush,278,
Bronx,President,,CON,George W. Bush,3021,
Kings,President,,CON,George W. Bush,6250,
New York,President,,CON,George W. Bush,2590,
